marital_status,income,mean,count
divorced,<=50k,40.431063401543106,5962
divorced,>50k,47.19672131147541,671
married-af-spouse,<=50k,37.04347826086956,23
married-af-spouse,>50k,44.357142857142854,14
married-civ-spouse,<=50k,41.73440903590157,12395
married-civ-spouse,>50k,45.25931490384615,9984
married-spouse-absent,<=50k,38.8421052631579,570
married-spouse-absent,>50k,47.96551724137931,58
never-married,<=50k,36.42615704628185,15384
never-married,>50k,46.65484311050478,733
separated,<=50k,39.235499650593994,1431
separated,>50k,45.91919191919192,99
widowed,<=50k,32.54388489208633,1390
widowed,>50k,43.1484375,128
